LIP,DIP,PN
192.168.1.100,172.217.163.162,HTTPS
192.168.1.100,172.217.163.162,HTTPS
192.168.1.100,172.217.163.162,HTTPS
192.168.1.100,117.18.232.200,HTTPS
192.168.1.100,131.253.61.68,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,111.221.29.193,HTTPS
192.168.1.100,111.221.29.193,HTTPS
192.168.1.100,204.79.197.200,HTTPS
192.168.1.100,204.79.197.200,HTTPS
192.168.1.100,23.9.187.175,HTTPS
192.168.1.100,23.9.187.175,HTTPS
192.168.1.100,104.18.25.243,www
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,13.107.21.200,HTTPS
192.168.1.100,125.56.230.166,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,104.215.17.202,HTTPS
192.168.1.100,23.67.0.253,HTTPS
192.168.1.100,182.156.239.24,www
192.168.1.100,13.107.4.50,www
192.168.1.100,13.107.4.50,www
192.168.1.100,172.17.21.104,7680
192.168.1.100,172.17.30.40,7680
192.168.1.100,10.1.250.148,7680
192.168.1.100,172.16.226.45,7680
192.168.1.100,13.107.4.50,www
192.168.1.100,64.233.184.94,HTTPS
192.168.1.100,117.18.237.29,www
192.168.1.100,117.18.237.29,www
